url	http_code	status	effective_url
https://ethereum.org/roadmap/fusaka/peerdas/	200	ok	https://ethereum.org/roadmap/fusaka/peerdas/
https://eips.ethereum.org/EIPS/eip-7840	200	ok	https://eips.ethereum.org/EIPS/eip-7840
https://eips.ethereum.org/EIPS/eip-8070	200	ok	https://eips.ethereum.org/EIPS/eip-8070
https://eips.ethereum.org/EIPS/eip-8136	200	ok	https://eips.ethereum.org/EIPS/eip-8136
https://eips.ethereum.org/EIPS/eip-8256	200	ok	https://eips.ethereum.org/EIPS/eip-8256
https://eips.ethereum.org/EIPS/eip-7516	200	ok	https://eips.ethereum.org/EIPS/eip-7516
https://ethereum-magicians.org/t/eip-8070-sparse-blobpool/26023	200	ok	https://ethereum-magicians.org/t/eip-8070-sparse-blobpool/26023
https://ethereum-magicians.org/t/eip-8256-blob-streaming/28586	200	ok	https://ethereum-magicians.org/t/eip-8256-blob-streaming/28586
https://eips.ethereum.org/EIPS/eip-7918	200	ok	https://eips.ethereum.org/EIPS/eip-7918
https://eips.ethereum.org/EIPS/eip-7999	200	ok	https://eips.ethereum.org/EIPS/eip-7999
https://eips.ethereum.org/EIPS/eip-8007	200	ok	https://eips.ethereum.org/EIPS/eip-8007
https://eips.ethereum.org/EIPS/eip-7976	200	ok	https://eips.ethereum.org/EIPS/eip-7976
https://eips.ethereum.org/EIPS/eip-7981	200	ok	https://eips.ethereum.org/EIPS/eip-7981
https://eips.ethereum.org/EIPS/eip-8037	200	ok	https://eips.ethereum.org/EIPS/eip-8037
https://eips.ethereum.org/EIPS/eip-8038	200	ok	https://eips.ethereum.org/EIPS/eip-8038
https://eips.ethereum.org/EIPS/eip-8131	200	ok	https://eips.ethereum.org/EIPS/eip-8131
https://eips.ethereum.org/EIPS/eip-8279	200	ok	https://eips.ethereum.org/EIPS/eip-8279
https://github.com/ethereum/EIPs/blob/master/EIPS/eip-8311.md	200	ok	https://github.com/ethereum/EIPs/blob/master/EIPS/eip-8311.md
https://eips.ethereum.org/EIPS/eip-3198	200	ok	https://eips.ethereum.org/EIPS/eip-3198
https://ethresear.ch/t/how-to-purchase-ethereum-gas-in-advance/19069	200	ok	https://ethresear.ch/t/how-to-purchase-ethereum-gas-in-advance/19069
